title,district,city,region,lat,lon
ВДНХ,Останкинский,Москва,Москва,55.821029,37.641507
Охотный Ряд,Тверской,Москва,Москва,55.757626,37.616526
Кузнецкий Мост,Мещанский,Москва,Москва,55.760627,37.626099
Китай-город,Басманный,Москва,Москва,55.755706,37.633637
Москва-Сити,Пресненский,Москва,Москва,55.748245,37.533875
Арбатская,Арбат,Москва,Москва,55.752058,37.606967
Павелецкая,Замоскворечье,Москва,Москва,55.730496,37.637857
Бауманская,Басманный,Москва,Москва,55.773157,37.680557
Белорусская,Тверской,Москва,Москва,55.776068,37.584028
Смоленская,Арбат,Москва,Москва,55.747498,37.582525
Автозаводская,Даниловский,Москва,Москва,55.70727,37.65776
Тверская,Тверской,Москва,Москва,55.764988,37.606729
Площадь Революции,Тверской,Москва,Москва,55.756614,37.621859
Чистые пруды,Басманный,Москва,Москва,55.765646,37.638842
Маяковская,Тверской,Москва,Москва,55.770155,37.595076
Сухаревская,Мещанский,Москва,Москва,55.773092,37.631078
Театральная,Тверской,Москва,Москва,55.757478,37.6191
Лубянка,Тверской,Москва,Москва,55.759697,37.627236
Киевская,Дорогомилово,Москва,Москва,55.745313,37.565535
Таганская,Таганский,Москва,Москва,55.741767,37.651468
Динамо,Аэропорт,Москва,Москва,55.789818,37.558106
Воробьёвы горы,Хамовники,Москва,Москва,55.710561,37.559593
Тульская,Даниловский,Москва,Москва,55.708702,37.622819
Сокольники,Сокольники,Москва,Москва,55.788769,37.680106
Новокузнецкая,Замоскворечье,Москва,Москва,55.741597,37.629253
Савёловская,Бутырский,Москва,Москва,55.792929,37.588444
Комсомольская,Красносельский,Москва,Москва,55.774603,37.654322
Сокол,Аэропорт,Москва,Москва,55.805218,37.515243
Курская,Басманный,Москва,Москва,55.757236,37.659421
Пушкинская,Тверской,Москва,Москва,55.765611,37.607493
Цветной бульвар,Тверской,Москва,Москва,55.770887,37.617902
Текстильщики,Текстильщики,Москва,Москва,55.708777,37.731345
Ленинский проспект,Гагаринский,Москва,Москва,55.707805,37.586422
ЦСКА,Хорошёвский,Москва,Москва,55.786589,37.533155
Улица 1905 года,Пресненский,Москва,Москва,55.764774,37.561459
Кузьминки,Кузьминки,Москва,Москва,55.705618,37.76581
Коломенская,Нагатино-Садовники,Москва,Москва,55.678484,37.664098
Новослободская,Тверской,Москва,Москва,55.779889,37.603646
Марьина Роща,Марьина Роща,Москва,Москва,55.795573,37.616255
Электрозаводская,Соколиная Гора,Москва,Москва,55.781822,37.703957
Волгоградский проспект,Южнопортовый,Москва,Москва,55.725273,37.6868
Щёлковская,Северное Измайлово,Москва,Москва,55.809448,37.798668
Дмитровская,Бутырский,Москва,Москва,55.806712,37.581831
Преображенская площадь,Преображенское,Москва,Москва,55.796404,37.715546
Октябрьское Поле,Щукино,Москва,Москва,55.793525,37.493576
Академическая,Академический,Москва,Москва,55.68782,37.573396
Авиамоторная,Лефортово,Москва,Москва,55.75239,37.719181
Алексеевская,Алексеевский,Москва,Москва,55.808717,37.638915
Аэропорт,Аэропорт,Москва,Москва,55.800514,37.53296
Войковская,Войковский,Москва,Москва,55.819053,37.497982
Проспект Мира,Мещанский,Москва,Москва,55.780851,37.632001
Технопарк,Даниловский,Москва,Москва,55.694369,37.664332
Фрунзенская,Хамовники,Москва,Москва,55.727075,37.578883
Пролетарская,Таганский,Москва,Москва,55.731863,37.665879
Китай-город,Тверской,Москва,Москва,55.755636,37.63311
Трубная,Тверской,Москва,Москва,55.769062,37.619626
Университет,Раменки,Москва,Москва,55.692693,37.533348
Славянский бульвар,Фили-Давыдково,Москва,Москва,55.729611,37.470764
Семёновская,Соколиная Гора,Москва,Москва,55.783227,37.72067
Люблино,Люблино,Москва,Москва,55.675619,37.76193
Парк культуры,Хамовники,Москва,Москва,55.73557,37.594147
Дубровка,Южнопортовый,Москва,Москва,55.718704,37.675923
Партизанская,Измайлово,Москва,Москва,55.788527,37.750725
Библиотека им. Ленина,Тверской,Москва,Москва,55.751016,37.610183
Новогиреево,Новогиреево,Москва,Москва,55.751788,37.816783
Беговая,Хорошёвский,Москва,Москва,55.77371,37.546732
Нагатинская,Нагорный,Москва,Москва,55.683101,37.622478
Менделеевская,Тверской,Москва,Москва,55.780923,37.601651
Народное Ополчение,Хорошёво-Мнёвники,Москва,Москва,55.77574,37.485561
Проспект Вернадского,Проспект Вернадского,Москва,Москва,55.677271,37.506085
Нижегородская,Нижегородский,Москва,Москва,55.731924,37.729897
Ботанический сад,Ростокино,Москва,Москва,55.845281,37.638614
Октябрьская,Якиманка,Москва,Москва,55.729812,37.609465
Кропоткинская,Хамовники,Москва,Москва,55.745467,37.603637
Красные Ворота,Басманный,Москва,Москва,55.76877,37.648261
Баррикадная,Пресненский,Москва,Москва,55.761139,37.579528
Фили,Филёвский парк,Москва,Москва,55.746127,37.514847
Профсоюзная,Академический,Москва,Москва,55.677939,37.562937
Багратионовская,Филёвский парк,Москва,Москва,55.743759,37.497766
Полежаевская,Хорошёвский,Москва,Москва,55.777435,37.519288
Перово,Новогиреево,Москва,Москва,55.75118,37.786452
Третьяковская,Замоскворечье,Москва,Москва,55.741452,37.627276
Спортивная,Хамовники,Москва,Москва,55.723335,37.563917
Шаболовская,Донской,Москва,Москва,55.719843,37.607723
Шоссе Энтузиастов,Перово,Москва,Москва,55.757573,37.749818
Деловой центр,Пресненский,Москва,Москва,55.750037,37.54131
Молодёжная,Кунцево,Москва,Москва,55.740821,37.416906
Тимирязевская,Тимирязевский,Москва,Москва,55.817802,37.575923
Юго-Западная,Тропарёво-Никулино,Москва,Москва,55.663808,37.483384
Бульвар Рокоссовского,Богородское,Москва,Москва,55.814749,37.734168
Парк Победы,Дорогомилово,Москва,Москва,55.736823,37.516682
Римская,Таганский,Москва,Москва,55.746437,37.683237
Полянка,Якиманка,Москва,Москва,55.737956,37.617443
Отрадное,Отрадное,Москва,Москва,55.863373,37.604774
Белорусская,Тверской,Москва,Москва,55.776846,37.583318
Аминьевская,Очаково-Матвеевское,Москва,Москва,55.697313,37.464766
Серпуховская,Замоскворечье,Москва,Москва,55.728032,37.624786
Щукинская,Щукино,Москва,Москва,55.808503,37.46462
Красносельская,Красносельский,Москва,Москва,55.780142,37.66752
Водный стадион,Головинский,Москва,Москва,55.839841,37.486898
Новые Черёмушки,Обручевский,Москва,Москва,55.670262,37.554705
Добрынинская,Замоскворечье,Москва,Москва,55.729168,37.624254
Кунцевская,Кунцево,Москва,Москва,55.730836,37.445958
Рижская,Мещанский,Москва,Москва,55.793613,37.636509
Выхино,Выхино-Жулебино,Москва,Москва,55.715718,37.817889
Раменки,Раменки,Москва,Москва,55.697593,37.49849
Каширская,Москворечье-Сабурово,Москва,Москва,55.655105,37.648505
Петровско-Разумовская,Тимирязевский,Москва,Москва,55.834939,37.574558
Черкизовская,Преображенское,Москва,Москва,55.804076,37.745028
Площадь трёх вокзалов,Красносельский,Москва,Москва,55.776401,37.651572
Бабушкинская,Бабушкинский,Москва,Москва,55.869505,37.664082
Варшавская,Нагорный,Москва,Москва,55.653388,37.619462
Павелецкая,Замоскворечье,Москва,Москва,55.732262,37.638032
Чеховская,Тверской,Москва,Москва,55.764886,37.609218
Бутырская,Бутырский,Москва,Москва,55.813335,37.602668
Нагорная,Нагорный,Москва,Москва,55.672336,37.610467
Кожуховская,Южнопортовый,Москва,Москва,55.707292,37.684902
Ховрино,Ховрино,Москва,Москва,55.878247,37.480743
Таганская,Таганский,Москва,Москва,55.740379,37.652131
Печатники,Печатники,Москва,Москва,55.693012,37.728026
Домодедовская,Орехово-Борисово Южное,Москва,Москва,55.610948,37.719035
Лефортово,Лефортово,Москва,Москва,55.764933,37.706612
Ломоносовский проспект,Раменки,Москва,Москва,55.707071,37.515982
Медведково,Северное Медведково,Москва,Москва,55.886939,37.661483
Краснопресненская,Пресненский,Москва,Москва,55.761145,37.577301
Курская,Басманный,Москва,Москва,55.758066,37.658363
Тургеневская,Красносельский,Москва,Москва,55.766187,37.637294
Александровский сад,Арбат,Москва,Москва,55.752639,37.608499
Братиславская,Марьино,Москва,Москва,55.659733,37.750654
Площадь Ильича,Таганский,Москва,Москва,55.747141,37.682463
Измайлово,Соколиная Гора,Москва,Москва,55.789188,37.743048
Киевская,Дорогомилово,Москва,Москва,55.744352,37.565209
Котельники,,Котельники,Московская область,55.674406,37.858151
Калужская,Обручевский,Москва,Москва,55.656787,37.540135
Речной вокзал,Левобережный,Москва,Москва,55.854899,37.476292
Марксистская,Таганский,Москва,Москва,55.741378,37.653652
Рязанский проспект,Рязанский,Москва,Москва,55.716914,37.793284
Крылатское,Крылатское,Москва,Москва,55.756561,37.408243
Третьяковская,Замоскворечье,Москва,Москва,55.741081,37.627255
ЗИЛ,Даниловский,Москва,Москва,55.698359,37.648593
Кутузовская,Дорогомилово,Москва,Москва,55.740079,37.534346
Зюзино,Зюзино,Москва,Москва,55.655697,37.573806
Мичуринский проспект,Раменки,Москва,Москва,55.689468,37.483028
Царицыно,Царицыно,Москва,Москва,55.621439,37.669271
Хорошёвская,Хорошёвский,Москва,Москва,55.776737,37.51935
Тушинская,Покровское-Стрешнево,Москва,Москва,55.8265,37.436973
Нахимовский проспект,Зюзино,Москва,Москва,55.662588,37.605464
Новаторская,Обручевский,Москва,Москва,55.669992,37.521803
Первомайская,Измайлово,Москва,Москва,55.794754,37.79939
Боровицкая,Арбат,Москва,Москва,55.750804,37.607197
Достоевская,Мещанский,Москва,Москва,55.782056,37.615244
Строгино,Строгино,Москва,Москва,55.803699,37.403108
Селигерская,Бескудниковский,Москва,Москва,55.86657,37.547152
Петровский парк,Аэропорт,Москва,Москва,55.791868,37.557226
Ростокино,Ярославский,Москва,Москва,55.839587,37.667376
Марьино,Марьино,Москва,Москва,55.649976,37.743085
Владыкино,Марфино,Москва,Москва,55.847186,37.589972
Нижегородская,Нижегородский,Москва,Москва,55.731699,37.729701
Шелепиха,Пресненский,Москва,Москва,55.757465,37.525597
Новокосино,Новокосино,Москва,Москва,55.745125,37.863993
Свиблово,Свиблово,Москва,Москва,55.855392,37.653109
Верхние Котлы,Донской,Москва,Москва,55.690087,37.618685
Савёловская,Савёловский,Москва,Москва,55.7923,37.586215
Парк Победы,Дорогомилово,Москва,Москва,55.736466,37.516466
Чертановская,Чертаново Северное,Москва,Москва,55.640567,37.606268
Сретенский бульвар,Красносельский,Москва,Москва,55.766612,37.638942
Комсомольская,Красносельский,Москва,Москва,55.775167,37.656294
Кантемировская,Царицыно,Москва,Москва,55.635765,37.656585
Арбатская,Арбат,Москва,Москва,55.751808,37.600827
Беляево,Коньково,Москва,Москва,55.642796,37.525836
Стахановская,Рязанский,Москва,Москва,55.727147,37.752564
Измайловская,Измайлово,Москва,Москва,55.787794,37.781483
Тёплый Стан,Ясенево,Москва,Москва,55.618866,37.508222
Проспект Мира,Мещанский,Москва,Москва,55.779615,37.632255
Чкаловская,Басманный,Москва,Москва,55.756785,37.657189
Лужники,Хамовники,Москва,Москва,55.720889,37.560348
Фонвизинская,Бутырский,Москва,Москва,55.822949,37.587662
Филёвский парк,Филёвский парк,Москва,Москва,55.739558,37.483374
Авиамоторная,Соколиная Гора,Москва,Москва,55.753594,37.719192
Давыдково,Можайский,Москва,Москва,55.714659,37.451933
Смоленская,Арбат,Москва,Москва,55.748808,37.582877
Каховская,Зюзино,Москва,Москва,55.652977,37.598603
Пражская,Чертаново Центральное,Москва,Москва,55.612271,37.604494
ЗИЛ,Даниловский,Москва,Москва,55.697069,37.645501
Окская,Рязанский,Москва,Москва,55.71829,37.781795
Сходненская,Южное Тушино,Москва,Москва,55.850523,37.439716
Окружная,Тимирязевский,Москва,Москва,55.848761,37.572162
Октябрьская,Якиманка,Москва,Москва,55.730752,37.611404
Локомотив,,Москва,Москва,55.804032,37.745952
Алтуфьево,Бибирево,Москва,Москва,55.897928,37.587328
Севастопольская,Зюзино,Москва,Москва,55.652443,37.598402
Минская,Дорогомилово,Москва,Москва,55.724544,37.496997
Планерная,Северное Тушино,Москва,Москва,55.860677,37.436458
Озёрная,Очаково-Матвеевское,Москва,Москва,55.670479,37.44846
Сокольники,Сокольники,Москва,Москва,55.790401,37.679174
Кленовый бульвар,Нагатинский Затон,Москва,Москва,55.674497,37.680771
Окружная,Тимирязевский,Москва,Москва,55.846079,37.573794
Мнёвники,Хорошёво-Мнёвники,Москва,Москва,55.761054,37.471296
Верхние Лихоборы,Западное Дегунино,Москва,Москва,55.856555,37.560762
Парк культуры,Хамовники,Москва,Москва,55.735811,37.591289
Крестьянская Застава,Таганский,Москва,Москва,55.733218,37.667552
Крымская,Донской,Москва,Москва,55.690003,37.605346
Вавиловская,Гагаринский,Москва,Москва,55.68478,37.540837
Бибирево,Бибирево,Москва,Москва,55.883891,37.603462
Студенческая,Дорогомилово,Москва,Москва,55.738855,37.548449
Текстильщики,Печатники,Москва,Москва,55.707386,37.728419
Волжская,Текстильщики,Москва,Москва,55.690932,37.752924
Беломорская,Левобережный,Москва,Москва,55.865046,37.475005
Саларьево,Коммунарка,Москва,Москва,55.621921,37.424155
Каширская,Москворечье-Сабурово,Москва,Москва,55.654947,37.648851
Коптево,Коптево,Москва,Москва,55.840069,37.520856
Нагатинский Затон,Нагатинский Затон,Москва,Москва,55.684497,37.704435
Яхромская,Дмитровский,Москва,Москва,55.879737,37.545519
Коньково,Тёплый Стан,Москва,Москва,55.633208,37.518977
Хорошёво,Хорошёвский,Москва,Москва,55.77698,37.50753
Кунцевская,Фили-Давыдково,Москва,Москва,55.730706,37.446016
Электрозаводская,Басманный,Москва,Москва,55.780319,37.702923
Спартак,Покровское-Стрешнево,Москва,Москва,55.817954,37.436029
Марьина Роща,Марьина Роща,Москва,Москва,55.796533,37.615912
Южная,Чертаново Северное,Москва,Москва,55.622235,37.609164
Воронцовская,Обручевский,Москва,Москва,55.658894,37.539303
Тропарёво,Тропарёво-Никулино,Москва,Москва,55.645826,37.472475
Некрасовка,Некрасовка,Москва,Москва,55.7031,37.927771
Останкино,Останкинский,Москва,Москва,55.817568,37.603318
Стрешнево,Сокол,Москва,Москва,55.813807,37.486937
Ясенево,Ясенево,Москва,Москва,55.606377,37.533047
Зорге,Хорошёвский,Москва,Москва,55.788684,37.504375
Кунцевская,Кунцево,Москва,Москва,55.729021,37.445881
Угрешская,Печатники,Москва,Москва,55.718303,37.696811
Жулебино,Выхино-Жулебино,Москва,Москва,55.685265,37.85613
Терехово,Хорошёво-Мнёвники,Москва,Москва,55.748176,37.459763
Крымская,Донской,Москва,Москва,55.689766,37.608834
Соколиная Гора,Измайлово,Москва,Москва,55.770732,37.745229
Дубровка,Южнопортовый,Москва,Москва,55.71249,37.677279
Мичуринский проспект,Раменки,Москва,Москва,55.688284,37.485216
Митино,Митино,Москва,Москва,55.845769,37.362258
Новохохловская,Нижегородский,Москва,Москва,55.724263,37.717469
Балтийская,Войковский,Москва,Москва,55.825498,37.495628
Деловой центр,Пресненский,Москва,Москва,55.749063,37.539089
Площадь Гагарина,Гагаринский,Москва,Москва,55.707166,37.58611
Пионерская,Фили-Давыдково,Москва,Москва,55.736035,37.467111
Юго-Восточная,Выхино-Жулебино,Москва,Москва,55.705029,37.819024
Университет дружбы народов,Коньково,Москва,Москва,55.64813,37.5073
Лихоборы,,Москва,Москва,55.847214,37.551655
Рижская,Мещанский,Москва,Москва,55.793904,37.634698
Панфиловская,,Москва,Москва,55.798555,37.49957
Мякинино,,Красногорск,Московская область,55.824955,37.385243
Печатники,Печатники,Москва,Москва,55.694556,37.727349
Лермонтовский проспект,Выхино-Жулебино,Москва,Москва,55.70148,37.852273
Ботанический сад,Свиблово,Москва,Москва,55.845559,37.640022
Лианозово,Дмитровский,Москва,Москва,55.898374,37.544747
Солнцево,Солнцево,Москва,Москва,55.649589,37.391135
Аннино,Чертаново Южное,Москва,Москва,55.582869,37.5968
Румянцево,Солнцево,Москва,Москва,55.632965,37.441939
Серп и Молот,Лефортово,Москва,Москва,55.748235,37.682399
Перово,Перово,Москва,Москва,55.735808,37.764268
Бульвар Дмитрия Донского,Северное Бутово,Москва,Москва,55.569172,37.576993
Москва-Сити,Пресненский,Москва,Москва,55.747687,37.531978
Кутузовская,Дорогомилово,Москва,Москва,55.740013,37.534057
Тестовская (Москва-Сити),Пресненский,Москва,Москва,55.758037,37.533352
Говорово,Солнцево,Москва,Москва,55.659615,37.416988
Белорусская,Тверской,Москва,Москва,55.77694,37.580262
Красный Балтиец,Коптево,Москва,Москва,55.815465,37.525734
Орехово,Орехово-Борисово Северное,Москва,Москва,55.613242,37.69481
Алма-Атинская,Братеево,Москва,Москва,55.63286,37.765931
Автозаводская,Даниловский,Москва,Москва,55.706135,37.662619
Митьково,Красносельский,Москва,Москва,55.78564,37.670748
Беговая,,Москва,Москва,55.77109,37.539329
Курская,Басманный,Москва,Москва,55.757891,37.662846
Калитники,Нижегородский,Москва,Москва,55.733766,37.702506
Академическая,Академический,Москва,Москва,55.687045,37.575641
Гражданская,Савёловский,Москва,Москва,55.805416,37.553807
Стрешнево,Войковский,Москва,Москва,55.815251,37.490062
Проспект Вернадского,Проспект Вернадского,Москва,Москва,55.678479,37.503821
Красногвардейская,Зябликово,Москва,Москва,55.613696,37.744461
Физтех,Северный,Москва,Москва,55.921473,37.546506
Борисово,Братеево,Москва,Москва,55.633184,37.743658
Нижегородская,Нижегородский,Москва,Москва,55.732274,37.728069
Киевская,Дорогомилово,Москва,Москва,55.743713,37.565587
Дмитровская,Тимирязевский,Москва,Москва,55.807924,37.578338
Андроновка,Перово,Москва,Москва,55.747108,37.737854
Пятницкое шоссе,Митино,Москва,Москва,55.856355,37.354362
Лухмановская,Косино-Ухтомский,Москва,Москва,55.708504,37.900578
Люблино,Люблино,Москва,Москва,55.685463,37.734101
Славянский бульвар,Фили-Давыдково,Москва,Москва,55.730393,37.472418
Чухлинка,Рязанский,Москва,Москва,55.73322,37.762478
Очаково,Очаково-Матвеевское,Москва,Москва,55.68366,37.451442
Савёловская,Бутырский,Москва,Москва,55.795138,37.588992
Новогиреево,Вешняки,Москва,Москва,55.744438,37.819136
Авиамоторная,,Москва,Москва,55.750634,37.721359
Филатов Луг,Коммунарка,Москва,Москва,55.601152,37.408
Владыкино,,Москва,Москва,55.847398,37.591501
Волоколамская,Митино,Москва,Москва,55.83542,37.382262
Нижегородская,Нижегородский,Москва,Москва,55.733374,37.729426
Текстильщики,Печатники,Москва,Москва,55.707588,37.729479
Кунцевская,Фили-Давыдково,Москва,Москва,55.726916,37.449194
Улица Академика Янгеля,Чертаново Южное,Москва,Москва,55.595108,37.600433
Рижская,Красносельский,Москва,Москва,55.792235,37.64123
Выхино,Выхино-Жулебино,Москва,Москва,55.716319,37.816677
Петровско-Разумовская,Тимирязевский,Москва,Москва,55.839627,37.568692
Новаторская,Обручевский,Москва,Москва,55.671809,37.521691
Люберцы,,Люберцы,Московская область,55.682644,37.89621
Шипиловская,Зябликово,Москва,Москва,55.621067,37.743645
Матвеевская,Очаково-Матвеевское,Москва,Москва,55.704694,37.481903
Белокаменная,,Москва,Москва,55.829217,37.702596
Аминьевская,Раменки,Москва,Москва,55.697722,37.469211
Электрозаводская,,Москва,Москва,55.781101,37.705615
Реутов,,Реутов,Московская область,55.751652,37.855646
Курьяново,Печатники,Москва,Москва,55.649399,37.700961
Москва-Товарная,Лефортово,Москва,Москва,55.745139,37.689643
Косино,Выхино-Жулебино,Москва,Москва,55.703374,37.851182
Перерва,Печатники,Москва,Москва,55.660944,37.716359
Зябликово,Зябликово,Москва,Москва,55.612211,37.745146
Курская,Басманный,Москва,Москва,55.757394,37.66194
Марьина Роща,Марьина Роща,Москва,Москва,55.801018,37.620411
Поклонная,Дорогомилово,Москва,Москва,55.732476,37.522137
Лесопарковая,Чертаново Южное,Москва,Москва,55.582044,37.57696
Площадь трёх вокзалов,Красносельский,Москва,Москва,55.77615,37.651559
Рабочий Посёлок,Кунцево,Москва,Москва,55.727014,37.417866
Вешняки,Рязанский,Москва,Москва,55.722206,37.798867
Потапово,Коммунарка,,Москва,55.552645,37.49282
Сколково,,,Московская область,55.700041,37.342657
Рассказовка,Внуково,Москва,Москва,55.633965,37.334713
Ховрино,Ховрино,Москва,Москва,55.879402,37.486887
Фили,Дорогомилово,Москва,Москва,55.744103,37.514647
Прокшино,Коммунарка,Москва,Москва,55.586458,37.433136
Грачёвская,Ховрино,Москва,Москва,55.869782,37.509511
Окружная,Бескудниковский,Москва,Москва,55.847852,37.574133
Сетунь,Можайский,Москва,Москва,55.723799,37.397446
Новоясеневская,Ясенево,Москва,Москва,55.600803,37.554584
Щукинская,Щукино,Москва,Москва,55.811208,37.459079
Дегунино,Отрадное,Москва,Москва,55.865776,37.573178
Одинцово,,Одинцово,Московская область,55.672936,37.283332
Шоссе Энтузиастов,Соколиная Гора,Москва,Москва,55.758208,37.746066
Бульвар Рокоссовского,Богородское,Москва,Москва,55.816825,37.737848
Савёловская,Бутырский,Москва,Москва,55.794212,37.590212
Химки,,Химки,Московская область,55.893669,37.453631
Генерала Тюленева,Тёплый Стан,Москва,Москва,55.626193,37.485671
Новопеределкино,Ново-Переделкино,Москва,Москва,55.639643,37.355218
Корниловская,Коммунарка,Москва,Москва,55.598502,37.479072
Коммунарка,Коммунарка,,Москва,55.574573,37.46794
Марьина Роща,Марьина Роща,Москва,Москва,55.800997,37.619934
Аэропорт Внуково,Внуково,Москва,Москва,55.607023,37.287762
Тушинская,Покровское-Стрешнево,Москва,Москва,55.826952,37.44142
Улица Дмитриевского,Косино-Ухтомский,Москва,Москва,55.710178,37.879928
Павшино,,Красногорск,Московская область,55.815098,37.34062
Лихоборы,,Москва,Москва,55.850199,37.552432
Депо,Печатники,Москва,Москва,55.673898,37.728098
Моссельмаш,Головинский,Москва,Москва,55.86201,37.527738
Москворечье,Москворечье-Сабурово,Москва,Москва,55.64087,37.68955
Немчиновка,,,Московская область,55.715812,37.375046
Ольховая,Коммунарка,Москва,Москва,55.569063,37.458993
Тютчевская,Коммунарка,Москва,Москва,55.618939,37.480985
Бескудниково,Восточное Дегунино,Москва,Москва,55.882687,37.567792
Кусково,Вешняки,Москва,Москва,55.739678,37.79558
Кутузовская,Дорогомилово,Москва,Москва,55.742176,37.532948
Петровско-Разумовская,Тимирязевский,Москва,Москва,55.83487,37.574907
Москва-Сити,Пресненский,Москва,Москва,55.750156,37.530505
Сортировочная,Соколиная Гора,Москва,Москва,55.763544,37.720762
Плющево,Рязанский,Москва,Москва,55.730429,37.774869
Царицыно,Царицыно,Москва,Москва,55.618184,37.668262
Минская,Раменки,Москва,Москва,55.724021,37.501597
Трикотажная,Покровское-Стрешнево,Москва,Москва,55.83302,37.399771
Андроновка,,Москва,Москва,55.744872,37.740168
Белорусская,Тверской,Москва,Москва,55.776996,37.58083
Битцевский парк,Ясенево,Москва,Москва,55.600351,37.556082
Пенягино,Митино,Красногорск,Москва,55.822956,37.361115
Печатники,Текстильщики,Москва,Москва,55.692666,37.732356
Новомосковская,Коммунарка,Москва,Москва,55.559999,37.468689
Бунинская аллея,Южное Бутово,Москва,Москва,55.537976,37.515831
Лианозово,Лианозово,Москва,Москва,55.898884,37.54902
Боровское шоссе,Ново-Переделкино,Москва,Москва,55.647711,37.370176
Железнодорожная,,Балашиха,Московская область,55.752619,38.010415
Ухтомская,,Люберцы,Московская область,55.698804,37.86403
Мещерская,Солнцево,Москва,Москва,55.666807,37.42494
Пыхтино,Внуково,Москва,Москва,55.62461,37.296018
Красный Строитель,Бирюлёво Западное,Москва,Москва,55.5902,37.615317
Покровское,Чертаново Южное,Москва,Москва,55.602942,37.632074
Бутово,Южное Бутово,Москва,Москва,55.541256,37.570586
Тимирязевская,Тимирязевский,Москва,Москва,55.818886,37.576234
Кучино,,Балашиха,Московская область,55.752297,37.954107
Никольское,,Балашиха,Московская область,55.759651,37.897393
Косино,Выхино-Жулебино,Москва,Москва,55.705947,37.847186
Переделкино,Ново-Переделкино,Москва,Москва,55.656325,37.356492
Красногорская,,Красногорск,Московская область,55.81465,37.303341
Волоколамская,Митино,Москва,Москва,55.832148,37.382204
Салтыковская,,Балашиха,Московская область,55.757611,37.922914
Долгопрудная,,Долгопрудный,Московская область,55.940767,37.519706
Ольгино,,Балашиха,Московская область,55.751826,37.977928
Опалиха,,Красногорск,Московская область,55.822553,37.249316
Щербинка,Щербинка,Щербинка,Москва,55.510336,37.562253
Улица Скобелевская,Южное Бутово,Москва,Москва,55.548089,37.554462
Нахабино,,,Московская область,55.841644,37.184727
Баковка,,Одинцово,Московская область,55.682469,37.314034
Бульвар Адмирала Ушакова,Южное Бутово,Москва,Москва,55.545264,37.542472
Молжаниново,Молжаниновский,Москва,Москва,55.924589,37.380428
Солнечная,Солнцево,Москва,Москва,55.657166,37.384559
Марк,Лианозово,Москва,Москва,55.904655,37.538272
Битца,,,Московская область,55.571124,37.611483
Внуково,Внуково,Москва,Москва,55.64902,37.269322
Панки,,Люберцы,Московская область,55.668565,37.923228
Левобережная,,Химки,Московская область,55.886931,37.469175
Новохохловская,Нижегородский,Москва,Москва,55.724824,37.713138
Лобня,,Лобня,Московская область,56.013201,37.484991
Улица Горчакова,Южное Бутово,Москва,Москва,55.541967,37.53147
Новодачная,,Долгопрудный,Московская область,55.92442,37.527949
Сходня,,Химки,Московская область,55.949571,37.299532
Томилино,,,Московская область,55.65561,37.953571
Зеленоград-Крюково,Старое Крюково,Зеленоград,Москва,55.979922,37.17429
Улица Старокачаловская,Северное Бутово,Москва,Москва,55.569235,37.576731
Подольск,,Подольск,Московская область,55.432047,37.565745
Водники,,Долгопрудный,Московская область,55.952438,37.512638
Шереметьевская,,Долгопрудный,Московская область,55.983791,37.49884
Новомосковская,Коммунарка,,Москва,55.560737,37.465475
Новоподрезково,Молжаниновский,Москва,Москва,55.936368,37.352572
Силикатная,,Подольск,Московская область,55.470016,37.555528
Мичуринец,Внуково,Москва,Москва,55.646202,37.315395
Новопеределкино,Солнцево,Москва,Москва,55.637878,37.383376
Остафьево,Щербинка,Москва,Москва,55.485524,37.555018
Хлебниково,,Долгопрудный,Московская область,55.970774,37.504635
Подрезково,,Химки,Московская область,55.942609,37.3306
Лесной Городок,,,Московская область,55.632444,37.21847
Малаховка,,,Московская область,55.645527,38.007137
Красково,,,Московская область,55.649869,37.982972
Петровско-Разумовская,Марфино,Москва,Москва,55.83741,37.578637
Кокошкино,Внуково,Москва,Москва,55.599725,37.171214
Удельная,,,Московская область,55.634444,38.045365
Ильинская,,,Московская область,55.616275,38.100827
Отдых,,Жуковский,Московская область,55.601283,38.137474
Аникеевка,,Красногорск,Московская область,55.832216,37.219526
Солнечная,Солнцево,Москва,Москва,55.657122,37.38552
Быково,,,Московская область,55.626532,38.07133
Толстопальцево,Внуково,Москва,Москва,55.607696,37.186234
Апрелевка,,Апрелевка,Московская область,55.550163,37.067239
Фирсановская,,Химки,Московская область,55.960454,37.250564
Санино,Внуково,Москва,Москва,55.58365,37.137138
Фабричная,,Раменское,Московская область,55.572199,38.208572
Раменское,,Раменское,Московская область,55.565302,38.225548
Крёкшино,Внуково,Москва,Москва,55.577914,37.110043
Ипподром,,Раменское,Московская область,55.560698,38.238564
Кратово,,,Московская область,55.592037,38.160101
Победа,,Апрелевка,Московская область,55.565618,37.092443
Есенинская,,Раменское,Московская область,55.582517,38.183317
Военно-социальный центр Министерства обороны России,Арбат,Москва,Москва,55.752198,37.604347
